"identifiant","Prénom","Nom","Région","Département","Numéro de circonscription","Profession","Groupe politique (complet)","Groupe politique (abrégé)"
"794106","Andrée","Taurinya","Auvergne-Rhône-Alpes","Loire","2","Professeur, profession scientifique","Non inscrit","NI"
"309643","Véronique","Besse","Pays de la Loire","Vendée","4","Journaliste","Non inscrit","NI"
"719756","Christine","Le Nabour","Bretagne","Ille-et-Vilaine","5","Employée (secteur privé)","Non inscrit","NI"
"794802","Charles","Sitzenstuhl","Grand Est","Bas-Rhin","5","Cadre de la fonction publique","Non inscrit","NI"
"794022","Jérémie","Iordanoff","Auvergne-Rhône-Alpes","Isère","5","Artiste-peintre","Non inscrit","NI"
"721234","Maud","Petit","Ile-de-France","Val-de-Marne","4","Chargée de ressources humaines","Non inscrit","NI"
"794354","Hélène","Laporte","Nouvelle-Aquitaine","Lot-et-Garonne","2","Analyste bancaire","Non inscrit","NI"
"335758","Franck","Riester","Ile-de-France","Seine-et-Marne","5","Chef d'entreprise","Non inscrit","NI"
"841091","Arnaud","Simion","Occitanie","Haute-Garonne","6","(33) - Cadre de la fonction publique","Non inscrit","NI"
"608172","Christine","Pirès Beaune","Auvergne-Rhône-Alpes","Puy-de-Dôme","2","Fonctionnaire de catégorie A","Non inscrit","NI"
"340343","Hervé","Saulignac","Auvergne-Rhône-Alpes","Ardèche","1","Cadre (entreprises publiques)","Non inscrit","NI"
"795540","Daniel","Grenon","Bourgogne-Franche-Comté","Yonne","1","Ancien artisan, commerçant, chef d'entreprise","Non inscrit","NI"
"720362","Belkhir","Belhaddad","Grand Est","Moselle","1","Industriel-Chef d'entreprise","Non inscrit","NI"
"719286","Paul-André","Colombani","Corse","Corse-du-Sud","2","Médecin","Non inscrit","NI"
"774960","Isabelle","Santiago","Ile-de-France","Val-de-Marne","9","Cadre territorial","Non inscrit","NI"
"795746","Antoine","Léaument","Ile-de-France","Essonne","10","Responsable de la communication numérique","Non inscrit","NI"
"720154","Nicole","Dubré-Chirat","Pays de la Loire","Maine-et-Loire","6","Retraitée de la fonction publique hospitalière et chargée de formation","Non inscrit","NI"
"794982","Julie","Delpech","Pays de la Loire","Sarthe","1","Chargée de communication","Non inscrit","NI"
"569","Philippe","Bonnecarrère","Occitanie","Tarn","1","Avocat","Non inscrit","NI"
"794418","Florence","Goulet","Grand Est","Meuse","2","Cadre de la fonction publique","Non inscrit","NI"
"795636","Benjamin","Lucas-Lundy","Ile-de-France","Yvelines","8","(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r","Non inscrit","NI"
"719778","François","Jolivet","Centre-Val de Loire","Indre","1","Cadre supérieur (secteur privé)","Non inscrit","NI"
"719024","Christophe","Blanchet","Normandie","Calvados","4","Commerçant","Non inscrit","NI"
"841837","Robert","Le Bourgeois","Normandie","Seine-Maritime","10","(37) - Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"841471","Stéphane","Hablot","Grand Est","Meurthe-et-Moselle","2","Education nationale","Non inscrit","NI"
"795596","Paul","Vannier","Ile-de-France","Val-d'Oise","5","Professeur d'histoire-géographie","Non inscrit","NI"
"719968","Sylvie","Bonnet","Auvergne-Rhône-Alpes","Loire","4","Collaboratrice parlementaire","Non inscrit","NI"
"795026","Anne-Cécile","Violland","Auvergne-Rhône-Alpes","Haute-Savoie","5","Profession libérale","Non inscrit","NI"
"841017","Harold","Huwart","Centre-Val de Loire","Eure-et-Loir","3","Administrateur de l'État","Non inscrit","NI"
"721816","Ian","Boucard","Bourgogne-Franche-Comté","Territoire de Belfort","1","Autre cadre (secteur privé)","Non inscrit","NI"
"794718","Christine","Engrand","Hauts-de-France","Pas-de-Calais","6","Cadre administratif et commercial d'entreprise","Non inscrit","NI"
"794038","Yannick","Neuder","Auvergne-Rhône-Alpes","Isère","7","Cardiologue","Non inscrit","NI"
"793716","Laurent","Croizier","Bourgogne-Franche-Comté","Doubs","1","Professeur des écoles, instituteur et assimilé","Non inscrit","NI"
"795466","Ersilia","Soudais","Ile-de-France","Seine-et-Marne","7","Professeur, profession scientifique","Non inscrit","NI"
"642764","Joël","Aviragnet","Occitanie","Haute-Garonne","8","Directeur d'un établissement pour l'enfance handicapée","Non inscrit","NI"
"841047","François-Xavier","Ceccoli","Corse","Haute-Corse","2","(23) - Chef d'entreprise de 10 salariés ou plus","Non inscrit","NI"
"736201","Sophie","Taillé-Polian","Ile-de-France","Val-de-Marne","11","Cadre de la fonction publique","Non inscrit","NI"
"722150","Sacha","Houlié","Nouvelle-Aquitaine","Vienne","2","Avocat","Non inscrit","NI"
"795100","Éric","Martineau","Pays de la Loire","Sarthe","3","Agriculteur sur moyenne exploitation","Non inscrit","NI"
"719080","Sandra","Marsaud","Nouvelle-Aquitaine","Charente","2","Cadre (entreprises publiques)","Non inscrit","NI"
"795974","Philippe","Lottiaux","Provence-Alpes-Côte d'Azur","Var","4","Cadre de la fonction publique","Non inscrit","NI"
"722366","Jean-Luc","Fugit","Auvergne-Rhône-Alpes","Rhône","11","Professeur de faculté","Non inscrit","NI"
"840939","Océane","Godard","Bourgogne-Franche-Comté","Côte-d'Or","1","Psychologue du travail","Non inscrit","NI"
"720614","Marine","Le Pen","Hauts-de-France","Pas-de-Calais","11","Avocate","Non inscrit","NI"
"722046","Aurore","Bergé","Ile-de-France","Yvelines","10","Cadre supérieur (secteur privé)","Non inscrit","NI"
"793980","Charles","Fournier","Centre-Val de Loire","Indre-et-Loire","1","Consultant, formateur","Non inscrit","NI"
"841665","Denis","Fégné","Occitanie","Hautes-Pyrénées","2","(74) - Ancien cadre","Non inscrit","NI"
"795350","Frédéric","Valletoux","Ile-de-France","Seine-et-Marne","2","Profession de l'information","Non inscrit","NI"
